Designator,Mid X,Mid Y,Layer,Rotation
B1,9.3,-58,top,90
BZ1,36.2,-8.4,top,90
C1,31.2,-68.6,top,0
C2,19.4,-64.28,top,-90
C3,25.8,-60.85,top,-90
C4,28,-60.85,top,-90
C5,15.99,-26.1,top,90
C6,25.8,-65.4,top,90
C7,17.76,-26.89,top,90
C8,4.8,-31,top,-90
C9,13.8,-27.715,top,-90
C10,29.915,-46.5,top,0
C11,17.76,-30.575,top,-90
D1,38.6,-68,top,180
D2,8.075,-43.1,top,-90
D3,5.45,-43.1,top,-90
D4,33.75,-16,top,0
J1,45.225,-64.975,top,90
J2,16.885,-4.1,top,90
J3,-4,-18,top,-90
J4,-4,-48,top,-90
J5,-4.1,-33,top,-90
L1,21,-59.2,top,180
L2,47.8,-28,top,180
L3,47.8,-30,top,180
L4,47.8,-33,top,180
L5,47.8,-35,top,180
L6,47.8,-38,top,180
L7,47.78,-52.7,top,180
Q1,39.7,-16,top,90
R1,41.7,-63.785,top,-90
R2,47.59,-55,top,180
R3,40,-43.31,top,90
R4,15.8,-28.725,top,0
R5,19.98,-46.5,top,0
R6,19.98,-47.7,top,0
R7,29.935,-47.7,top,180
R8,26.8,-22.5,top,-90
R9,28,-22.5,top,-90
R10,17.29,-41.52,top,0
R11,17.29,-42.79,top,0
R12,17.29,-33.9,top,180
R13,16.83,-39.5,top,-90
R14,16.83,-37.21,top,90
R15,29.2,-22.5,top,90
R16,47.78,-23.4,top,0
R17,47.78,-25.2,top,0
R18,47.78,-41,top,0
R19,16.5,-30.595,top,90
R20,47.78,-46.4,top,0
R23,47.78,-42.8,top,0
R24,47.78,-44.6,top,0
R25,35.6,-18.49,top,180
R26,39.74,-18.75,top,180
SW1,5.5,-11,top,90
U1,28.8,-34.7,top,0
U2,22.35,-65.3625,top,90
U3,7.775,-31,top,90
U4,19.5,-17,top,180
Y1,7.15,-36.2,top,0
